,LL,LPL,D,LM,ACS,CSC,CC,LF,MN,RC,CE,SV,EF,DS,WE,UC,UA,OBI,OVF,OSC,IF,IE,UO,IR,DF
WE,0.0015034880923743084,0.0,0.0038489295164782296,0.0028265576136636997,0.004029348087563146,0.0,0.009321626172720712,0.001623767139764253,0.02056771710368054,0.006555208082751985,0.006314649987972095,0.014493625210488333,0.0027664180899687274,0.0031272552321385616,0.0,0.0,0.0015034880923743084,0.0,0.0,0.0,0.0,0.0,0.0,0.005051719990377676,0.0036083714216983403
UC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015034880923743084,0.00042097666586480637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA,0.0015636276160692808,6.013952369497234e-05,0.0007216742843396681,0.0015636276160692808,0.0037286504690882847,0.0,0.0028265576136636997,0.00030069761847486165,0.007156603319701708,0.004089487611258119,0.0020447438056290595,0.0007216742843396681,0.0019846042819340872,0.003067115708443589,0.0015034880923743084,0.0,0.0,0.001082511426509502,0.0,0.0,0.0,6.013952369497234e-05,0.0,0.003247534279528506,0.0015034880923743084
OBI,0.001082511426509502,0.0,0.003187394755833534,0.0,0.0038489295164782296,0.0,0.00541255713254751,0.0014433485686793362,0.00463074332451287,0.00018041857108491702,0.002525859995188838,0.002345441424103921,0.0008419533317296127,0.0019846042819340872,0.0,0.0,0.001082511426509502,0.0,0.0,0.0,0.0,0.0,0.0,0.003788789992783257,0.0
OVF,0.0,0.0,6.013952369497234e-05,0.0,0.0,0.0,0.0015034880923743084,0.0,0.00024055809477988935,0.0,6.013952369497234e-05,0.0018643252345441424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013952369497234e-05,0.0
OSC,0.0,0.0004811161895597787,0.00018041857108491702,0.0,0.0,0.0,0.0009020928554245851,0.0,0.0007216742843396681,0.0,0.0007216742843396681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009020928554245851,0.0
IF,0.0,0.0,0.0,0.0,0.0,0.0,0.0015034880923743084,0.0,0.001262929997594419,0.0,0.0015034880923743084,0.0012027904738994466,0.0015034880923743084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012027904738994466,0.0
IE,0.0027664180899687274,0.0,0.002345441424103921,0.000541255713254751,0.001082511426509502,0.0,0.0035482318980033676,0.0,0.009742602838585518,0.0,0.0,0.0017440461871541977,0.000541255713254751,0.0018041857108491701,0.0,0.0,6.013952369497234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015636276160692808,0.0009622323791195574
UO,0.0,0.0,0.0004811161895597787,0.0,0.0,0.0,0.0004811161895597787,0.0,0.0004811161895597787,0.0,0.0,0.0004811161895597787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,0.010464277122925187,0.0043901852297329805,0.02026701948520568,0.003788789992783257,0.008419533317296127,0.0,0.031813808034640366,0.0033076738032234783,0.04937454895357229,0.007697859032956459,0.01617753187394756,0.02754390185229733,0.011667067596824633,0.010343998075535241,0.005051719990377676,0.0,0.003247534279528506,0.003788789992783257,6.013952369497234e-05,0.0009020928554245851,0.0012027904738994466,0.0015636276160692808,0.0,0.0,0.0027664180899687274
