project,commit_hash,file_name
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/setup-remote-state.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/utils.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/exports-list.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/index.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/exports.ts
Kap,ee23d8e140572005d9a4b7e484abe43297a65e24,main/remote-states/editor-options.ts
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/next-env.d.ts
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/global-styles.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/combine-unstated-containers.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/sentry-error-boundary.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/utils/window.ts
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/vectors/back-plain.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/vectors/svg.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/traffic-lights.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/icon-menu.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/exports/index.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/exports/progress.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/exports/export.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/index.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/video-metadata-container.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/video.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/video-time-container.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/video-player.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options-container.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/editor-preview.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/video-controls-container.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options/index.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options/slider.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options/left.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options/right.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/options/select.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/controls/play-bar.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/controls/preview.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/controls/left.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/controls/right.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/conversion/title-bar.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/conversion/index.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/conversion/video-preview.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/components/editor/conversion/conversion-details.tsx
Kap,73da7c4ae5a5b0ecf78efc3387af388700469ab2,renderer/hooks/use-confirmation.tsx
